Date,OPEN,HIGH,LOW,Close
2011-Q4,"4,278.10","4,365.00","3,973.80","4,119.80"
2011-Q4,"3,990.60","4,417.60","3,840.20","4,298.10"
2011-Q3,"4,298.60","4,354.60","3,862.40","4,008.60"
2011-Q3,"4,440.60","4,517.40","3,765.90","4,296.50"
2011-Q3,"4,612.30","4,657.40","4,421.10","4,424.60"
2011-Q2,"4,711.30","4,724.80","4,451.70","4,608.00"
2011-Q2,"4,826.30","4,835.50","4,582.70","4,708.30"
2011-Q2,"4,837.00","4,976.40","4,788.60","4,823.20"
2011-Q1,"4,839.70","4,864.30","4,477.40","4,837.90"
2011-Q1,"4,759.30","4,944.40","4,751.80","4,831.70"
2011-Q1,"4,758.00","4,839.20","4,686.50","4,753.90"
2010-Q4,"4,578.90","4,811.90","4,557.00","4,745.20"
2010-Q4,"4,665.70","4,815.00","4,551.20","4,584.40"
2010-Q4,"4,584.60","4,725.90","4,559.00","4,661.60"
2010-Q3,"4,412.80","4,698.00","4,412.80","4,582.90"
2010-Q3,"4,494.80","4,598.70","4,313.90","4,404.20"
2010-Q3,"4,284.60","4,531.60","4,182.30","4,493.50"
2010-Q2,"4,430.60","4,622.00","4,249.50","4,301.50"
2010-Q2,"4,782.80","4,804.50","4,175.70","4,429.70"
2010-Q2,"4,880.60","5,025.10","4,779.30","4,807.40"
2010-Q1,"4,632.50","4,928.90","4,632.50","4,875.50"
2010-Q1,"4,569.90","4,718.30","4,464.90","4,637.70"
2010-Q1,"4,864.20","4,955.10","4,566.70","4,569.60"
2009-Q4,"4,696.90","4,873.60","4,596.20","4,870.60"
2009-Q4,"4,612.60","4,799.00","4,502.50","4,701.40"
2009-Q4,"4,739.90","4,895.30","4,562.50","4,643.20"
2009-Q3,"4,476.60","4,767.90","4,410.00","4,743.60"
2009-Q3,"4,244.00","4,537.20","4,244.60","4,479.10"
2009-Q3,"3,954.90","4,247.90","3,709.20","4,244.00"
2009-Q2,"3,818.00","4,079.40","3,767.90","3,954.90"
2009-Q2,"3,780.50","3,960.40","3,714.90","3,818.00"
2009-Q2,"3,582.10","3,851.20","3,550.90","3,780.50"
2009-Q1,"3,344.50","3,706.60","3,073.10","3,582.10"
2009-Q1,"3,540.70","3,578.70","3,296.20","3,344.50"
2009-Q1,"3,722.30","3,817.90","3,342.70","3,540.70"
